CODES,BRANCH,KPI, ACTUAL (MONTH) , ACTUAL (YTD) , BUDGET (MONTH) , BUDGET (YTD) , % VARIANCE (MONTH) , % VARIANCE (YTD) ,MONTH
012,BIASHARA STREET,FX INCOME," 35,571.00 "," 833,326.00 "," 153,000.00 "," 459,000.00 ",-77%,,MAR
012,BIASHARA STREET,NEW ACCOUNTS, 49.00 , 131.00 , 98.00 , 294.00 ,-50%,,MAR
012,BIASHARA STREET,NFI," 1,989.79 "," 6,893.43 "," 6,551.99 "," 19,634.87 ",-70%,,MAR
012,BIASHARA STREET,PBT, 860.74 ," 8,467.86 ", 866.78 ," 4,370.17 ",-1%,,MAR
013,RONGAI,NEW DEPOSITS, (21.42)," 6,640.17 "," 19,691.31 "," 59,073.92 ",-100%,,MAR
013,RONGAI,CUMULATIVE DEPOSITS,," 85,095.17 ",," 66,895.65 ",0%,,MAR
013,RONGAI,GROSS LOAN BOOK, -   ," 167,897.66 ",," 184,301.03 ",0%,,MAR
013,RONGAI,DISBURSEMENTS," 5,498.45 "," 17,326.71 "," 19,614.13 "," 58,842.40 ",-72%,,MAR
013,RONGAI,TRADE FINANCE," 9,600.00 "," 124,580.00 "," 91,000.00 "," 273,000.00 ",-89%,,MAR
013,RONGAI,FX INCOME," 10,000.00 "," 17,213.00 "," 25,000.00 "," 75,000.00 ",-60%,,MAR
013,RONGAI,NEW ACCOUNTS, 32.00 , 141.00 , 68.00 , 204.00 ,-53%,,MAR
013,RONGAI,NFI, 296.27 , 832.41 , 869.62 ," 2,578.58 ",-66%,,MAR
013,RONGAI,PBT, (542.80), (286.24), (577.46), 155.58 ,6%,,MAR
014,WESTLANDS,NEW DEPOSITS," (1,638.09)", 452.13 ," 23,066.67 "," 69,200.00 ",-107%,,MAR
014,WESTLANDS,CUMULATIVE DEPOSITS,," 251,589.89 ",," 253,469.82 ",0%,,MAR
014,WESTLANDS,GROSS LOAN BOOK, -   ," 220,655.59 ",," 264,144.03 ",0%,,MAR
014,WESTLANDS,DISBURSEMENTS," 4,726.13 "," 14,365.27 "," 23,833.33 "," 71,500.00 ",-80%,,MAR
014,WESTLANDS,TRADE FINANCE," 792,088.19 "," 4,061,981.31 "," 1,211,000.00 "," 3,633,000.00 ",-35%,,MAR
014,WESTLANDS,FX INCOME," 19,044.00 "," 26,746.00 "," 12,000.00 "," 36,000.00 ",59%,,MAR
014,WESTLANDS,NEW ACCOUNTS, 13.00 , 80.00 , 65.00 , 195.00 ,-80%,,MAR
014,WESTLANDS,NFI, 959.64 ," 4,663.74 "," 2,006.38 "," 6,007.11 ",-52%,,MAR
014,WESTLANDS,PBT," (4,776.96)"," (3,672.00)"," (4,791.76)"," (4,432.63)",0%,,MAR
015,MACHAKOS,NEW DEPOSITS," (1,496.42)"," 7,514.25 "," 19,776.96 "," 59,330.88 ",-108%,,MAR
015,MACHAKOS,CUMULATIVE DEPOSITS,," 35,808.79 ",," 23,031.17 ",0%,,MAR
015,MACHAKOS,GROSS LOAN BOOK, -   ," 156,101.32 ",," 181,550.46 ",0%,,MAR
015,MACHAKOS,DISBURSEMENTS," 1,739.56 "," 7,255.95 "," 19,721.20 "," 59,163.60 ",-91%,,MAR
015,MACHAKOS,TRADE FINANCE," 22,000.00 "," 108,120.00 "," 58,000.00 "," 174,000.00 ",-62%,,MAR
015,MACHAKOS,FX INCOME," 1,800.00 "," 6,036.00 "," 2,000.00 "," 6,000.00 ",-10%,,MAR
015,MACHAKOS,NEW ACCOUNTS, 24.00 , 114.00 , 61.00 , 183.00 ,-61%,,MAR
015,MACHAKOS,NFI, 164.23 , 560.79 , 749.84 ," 2,232.40 ",-78%,,MAR
015,MACHAKOS,PBT, (312.55)," (1,160.62)", (310.33), (381.01),-1%,,MAR
016,NAKURU,NEW DEPOSITS," (8,542.36)"," (20,633.27)"," 22,421.81 "," 67,265.44 ",-138%,,MAR
016,NAKURU,CUMULATIVE DEPOSITS,," 136,258.46 ",," 186,271.37 ",0%,,MAR
016,NAKURU,GROSS LOAN BOOK, -   ," 176,474.31 ",," 198,353.97 ",0%,,MAR
016,NAKURU,DISBURSEMENTS, 988.87 ," 14,152.98 "," 23,027.27 "," 69,081.80 ",-96%,,MAR
016,NAKURU,TRADE FINANCE," 230,599.00 "," 770,119.00 "," 498,000.00 "," 1,494,000.00 ",-54%,,MAR
016,NAKURU,FX INCOME," 42,269.00 "," 243,831.00 "," 289,000.00 "," 867,000.00 ",-85%,,MAR
016,NAKURU,NEW ACCOUNTS, 53.00 , 152.00 , 56.00 , 168.00 ,-5%,,MAR
016,NAKURU,NFI, 393.51 ," 1,546.43 "," 1,368.35 "," 4,083.81 ",-71%,,MAR
016,NAKURU,PBT, 672.47 ," 3,520.66 ", 706.32 ," 3,349.98 ",-5%,,MAR
017,KENGELENI,NEW DEPOSITS," (18,004.06)"," (31,526.27)"," 18,288.48 "," 54,865.44 ",-198%,,MAR
017,KENGELENI,CUMULATIVE DEPOSITS,," 50,323.35 ",," 75,016.99 ",0%,,MAR
017,KENGELENI,GROSS LOAN BOOK, -   ," 153,035.51 ",," 177,381.59 ",0%,,MAR
017,KENGELENI,DISBURSEMENTS," 1,669.29 "," 7,293.35 "," 17,860.60 "," 53,581.80 ",-91%,,MAR
017,KENGELENI,TRADE FINANCE," 44,500.00 "," 321,359.09 "," 164,000.00 "," 492,000.00 ",-73%,,MAR
017,KENGELENI,FX INCOME, -   ," 1,000.00 "," 2,000.00 "," 6,000.00 ",-100%,,MAR
017,KENGELENI,NEW ACCOUNTS, 30.00 , 85.00 , 48.00 , 144.00 ,-38%,,MAR
017,KENGELENI,NFI, 191.19 , 897.37 , 817.16 ," 2,444.43 ",-77%,,MAR
017,KENGELENI,PBT, (583.60)," (2,246.19)", (591.33)," (1,868.85)",1%,,MAR
018,KISUMU,NEW DEPOSITS," 2,204.85 "," 1,909.35 "," 23,643.63 "," 70,930.88 ",-91%,,MAR
018,KISUMU,CUMULATIVE DEPOSITS,," 34,414.73 ",," 38,069.82 ",0%,,MAR
018,KISUMU,GROSS LOAN BOOK, -   ," 170,920.20 ",," 197,265.80 ",0%,,MAR
018,KISUMU,DISBURSEMENTS," 4,245.83 "," 13,402.45 "," 24,554.53 "," 73,663.60 ",-83%,,MAR
018,KISUMU,TRADE FINANCE," 149,129.15 "," 376,886.15 "," 280,000.00 "," 840,000.00 ",-47%,,MAR
018,KISUMU,FX INCOME," 1,000.00 "," 25,862.00 "," 7,000.00 "," 21,000.00 ",-86%,,MAR
018,KISUMU,NEW ACCOUNTS, 47.00 , 301.00 , 108.00 , 324.00 ,-56%,,MAR
018,KISUMU,NFI, 479.01 ," 1,257.01 "," 1,161.66 "," 3,460.26 ",-59%,,MAR
018,KISUMU,PBT, 698.32 , 854.67 , 696.09 ," 1,730.57 ",0%,,MAR
019,DIASPORAH,NEW DEPOSITS, (4.91), 0.41 , -   , -   ,0%,,MAR
019,DIASPORAH,CUMULATIVE DEPOSITS,, 615.59 ,, 687.93 ,0%,,MAR
019,DIASPORAH,GROSS LOAN BOOK, -   , -   ,, -   ,0%,,MAR
019,DIASPORAH,DISBURSEMENTS, -   , -   , -   , -   ,0%,,MAR
019,DIASPORAH,TRADE FINANCE, -   , -   , -   , -   ,0%,,MAR
019,DIASPORAH,FX INCOME, -   , -   , -   , -   ,0%,,MAR
019,DIASPORAH,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,MAR
019,DIASPORAH,NFI, -   , -   , 0.78 , 2.23 ,-100%,,MAR
019,DIASPORAH,PBT, 6.03 , 7.29 , 6.03 , (1.19),0%,,MAR
020,MTWAPA,NEW DEPOSITS," 1,554.30 "," 12,283.02 "," 30,401.60 "," 91,204.80 ",-95%,,MAR
020,MTWAPA,CUMULATIVE DEPOSITS,," 230,741.28 ",," 221,888.09 ",0%,,MAR
020,MTWAPA,GROSS LOAN BOOK, -   ," 156,806.35 ",," 193,219.67 ",0%,,MAR
020,MTWAPA,DISBURSEMENTS," 1,569.96 "," 7,190.11 "," 33,002.00 "," 99,006.00 ",-95%,,MAR
020,MTWAPA,TRADE FINANCE," 8,000.00 "," 26,400.00 "," 63,000.00 "," 189,000.00 ",-87%,,MAR
020,MTWAPA,FX INCOME," 69,598.00 "," 280,536.00 "," 99,000.00 "," 297,000.00 ",-30%,,MAR
020,MTWAPA,NEW ACCOUNTS, 110.00 , 416.00 , 178.00 , 534.00 ,-38%,,MAR
020,MTWAPA,NFI, 291.60 , 947.12 ," 1,186.29 "," 3,547.58 ",-75%,,MAR
020,MTWAPA,PBT," (2,367.92)"," (5,151.64)"," (2,367.92)"," (6,129.65)",0%,,MAR
000,CENTRAL OFFICE,NEW DEPOSITS, -   , -   , -   , -   ,0%,,APR
000,CENTRAL OFFICE,CUMULATIVE DEPOSITS,, -   ,, -   ,0%,,APR
000,CENTRAL OFFICE,GROSS LOAN BOOK, -   , -   ,, -   ,0%,,APR
000,CENTRAL OFFICE,DISBURSEMENTS, -   , -   , -   , -   ,0%,,APR
000,CENTRAL OFFICE,TRADE FINANCE, -   , -   , -   , -   ,0%,,APR
000,CENTRAL OFFICE,FX INCOME, -   ," 209,870.00 ", -   ," 99,000.00 ",0%,,APR
000,CENTRAL OFFICE,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,APR
000,CENTRAL OFFICE,NFI, 354.67 , 453.76 , 117.38 , 117.50 ,202%,,APR
000,CENTRAL OFFICE,PBT," (53,905.80)"," (145,864.89)"," (18,820.36)"," (108,970.87)",-186%,,APR
001,TOM MBOYA,NEW DEPOSITS, 799.31 ," 10,759.07 "," 7,465.98 "," 65,531.42 ",-89%,,APR
001,TOM MBOYA,CUMULATIVE DEPOSITS,," 489,382.64 ",," 501,109.88 ",0%,,APR
001,TOM MBOYA,GROSS LOAN BOOK, -   ," 658,657.49 ",," 512,153.98 ",0%,,APR
001,TOM MBOYA,DISBURSEMENTS," 7,002.93 "," 43,331.01 "," 21,166.64 "," 78,748.44 ",-67%,,APR
001,TOM MBOYA,TRADE FINANCE," 1,854,108.00 "," 6,062,654.00 "," 124,221.61 "," 4,174,221.61 ",1393%,,APR
001,TOM MBOYA,FX INCOME," 1,239.00 "," 233,995.00 "," 28,000.00 "," 34,000.00 ",-96%,,APR
001,TOM MBOYA,NEW ACCOUNTS, 21.00 , 185.00 , 85.00 , 340.00 ,-75%,,APR
001,TOM MBOYA,NFI," 2,498.73 "," 7,820.26 ", (9.37)," 6,280.76 ",26760%,,APR
001,TOM MBOYA,PBT," (1,030.36)"," (6,113.61)"," 4,382.15 ", (101.47),-124%,,APR
002,LIKONI,NEW DEPOSITS," 4,743.36 "," (18,361.57)"," 2,986.00 "," 62,251.44 ",59%,,APR
002,LIKONI,CUMULATIVE DEPOSITS,," 54,771.47 ",," 55,084.30 ",0%,,APR
002,LIKONI,GROSS LOAN BOOK, -   ," 90,437.53 ",," 76,113.82 ",0%,,APR
002,LIKONI,DISBURSEMENTS," 1,105.44 "," 7,457.03 "," 5,348.77 "," 64,430.57 ",-79%,,APR
002,LIKONI,TRADE FINANCE," 10,500.00 "," 49,500.00 "," 62,110.81 "," 152,110.81 ",-83%,,APR
002,LIKONI,FX INCOME," 54,845.00 "," 173,159.00 "," 14,000.00 "," 233,000.00 ",292%,,APR
002,LIKONI,NEW ACCOUNTS, 48.00 , 229.00 , 73.00 , 292.00 ,-34%,,APR
002,LIKONI,NFI, 119.55 , 647.14 ," (1,373.99)", 904.17 ,109%,,APR
002,LIKONI,PBT," (1,308.67)"," (4,286.33)", 79.02 ," (2,795.11)",-1756%,,APR
003,WOTE,NEW DEPOSITS," (8,785.08)"," (3,994.38)"," 2,986.00 "," 54,316.88 ",-394%,,APR
003,WOTE,CUMULATIVE DEPOSITS,," 36,290.49 ",," 52,546.07 ",0%,,APR
003,WOTE,GROSS LOAN BOOK, -   ," 100,460.13 ",," 83,420.54 ",0%,,APR
003,WOTE,DISBURSEMENTS, 460.94 ," 5,021.76 "," 5,348.77 "," 54,512.37 ",-91%,,APR
003,WOTE,TRADE FINANCE," 2,000.00 "," 27,000.00 "," 62,110.81 "," 98,110.81 ",-97%,,APR
003,WOTE,FX INCOME, -   , -   ," 14,000.00 "," 17,000.00 ",-100%,,APR
003,WOTE,NEW ACCOUNTS, 25.00 , 102.00 , 66.00 , 264.00 ,-62%,,APR
003,WOTE,NFI, 60.14 , 334.13 ," (1,363.68)", 657.74 ,104%,,APR
003,WOTE,PBT," (1,036.86)"," (3,712.74)", 471.75 ," (1,757.27)",-320%,,APR
004,LIMURU,NEW DEPOSITS, 358.93 ," 1,539.92 "," 4,554.55 "," 77,550.87 ",-92%,,APR
004,LIMURU,CUMULATIVE DEPOSITS,," 24,419.64 ",," 33,413.22 ",0%,,APR
004,LIMURU,GROSS LOAN BOOK, -   ," 110,021.30 ",," 86,161.41 ",0%,,APR
004,LIMURU,DISBURSEMENTS," 1,175.80 "," 9,810.75 "," 8,158.48 "," 84,403.88 ",-86%,,APR
004,LIMURU,TRADE FINANCE," 2,000.00 "," 28,000.00 "," 124,221.61 "," 385,221.61 ",-98%,,APR
004,LIMURU,FX INCOME, -   ," 27,984.00 "," 28,000.00 "," 31,000.00 ",-100%,,APR
004,LIMURU,NEW ACCOUNTS, 12.00 , 63.00 , 101.00 , 404.00 ,-88%,,APR
004,LIMURU,NFI, 26.08 , 468.80 ," (1,823.35)", 866.47 ,101%,,APR
004,LIMURU,PBT," (1,416.36)"," (1,224.59)", 423.01 ," 1,036.00 ",-435%,,APR
005,MOI AVENUE,NEW DEPOSITS," (4,274.32)"," (6,091.73)"," 8,734.88 "," 108,400.32 ",-149%,,APR
005,MOI AVENUE,CUMULATIVE DEPOSITS,," 136,221.86 ",," 172,969.15 ",0%,,APR
005,MOI AVENUE,GROSS LOAN BOOK, -   ," 347,751.12 ",," 216,930.07 ",0%,,APR
005,MOI AVENUE,DISBURSEMENTS," 2,212.89 "," 19,041.87 "," 10,575.01 "," 120,156.81 ",-79%,,APR
005,MOI AVENUE,TRADE FINANCE," 447,043.00 "," 2,827,593.39 "," 1,608,965.62 "," 6,171,965.62 ",-72%,,APR
005,MOI AVENUE,FX INCOME," 122,781.00 "," 305,063.00 "," 97,666.00 "," 358,666.00 ",26%,,APR
005,MOI AVENUE,NEW ACCOUNTS, 24.00 , 184.00 , 68.00 , 272.00 ,-65%,,APR
005,MOI AVENUE,NFI, 626.72 ," 3,837.16 "," (3,112.41)"," 5,387.92 ",120%,,APR
005,MOI AVENUE,PBT," (2,436.11)"," 2,934.74 "," 4,550.32 "," 10,501.71 ",-154%,,APR
006,THIKA,NEW DEPOSITS, 42.81 ," 14,366.15 "," 5,601.48 "," 72,866.92 ",-99%,,APR
006,THIKA,CUMULATIVE DEPOSITS,," 92,311.27 ",," 81,108.64 ",0%,,APR
006,THIKA,GROSS LOAN BOOK, -   ," 181,495.66 ",," 141,387.11 ",0%,,APR
006,THIKA,DISBURSEMENTS," 1,889.00 "," 8,864.84 "," 11,147.11 "," 80,228.91 ",-83%,,APR
006,THIKA,TRADE FINANCE," 14,000.00 "," 173,490.31 "," 124,221.61 "," 595,221.61 ",-89%,,APR
006,THIKA,FX INCOME," 7,118.00 "," 313,597.00 "," 28,000.00 "," 130,000.00 ",-75%,,APR
006,THIKA,NEW ACCOUNTS, 20.00 , 148.00 , 66.00 , 264.00 ,-70%,,APR
006,THIKA,NFI, (92.48), 736.05 ," (1,701.17)"," 1,537.81 ",95%,,APR
006,THIKA,PBT," (2,547.63)"," 1,802.30 "," 1,078.79 "," 6,254.71 ",-336%,,APR
007,RUIRU,NEW DEPOSITS," (10,067.82)"," (25,460.93)"," 2,789.94 "," 81,320.82 ",-461%,,APR
007,RUIRU,CUMULATIVE DEPOSITS,," 169,628.48 ",," 208,357.57 ",0%,,APR
007,RUIRU,GROSS LOAN BOOK, -   ," 128,457.12 ",," 132,400.81 ",0%,,APR
007,RUIRU,DISBURSEMENTS, 20.00 ," 6,712.93 "," 4,997.56 "," 88,161.16 ",-100%,,APR
007,RUIRU,TRADE FINANCE," 35,000.00 "," 163,900.00 "," 62,110.81 "," 842,110.81 ",-44%,,APR
007,RUIRU,FX INCOME, 816.00 ," 3,118.00 "," 14,000.00 "," 68,000.00 ",-94%,,APR
007,RUIRU,NEW ACCOUNTS, 14.00 , 94.00 , 76.00 , 304.00 ,-82%,,APR
007,RUIRU,NFI, 113.37 , 736.54 ," (2,692.89)", 999.09 ,104%,,APR
007,RUIRU,PBT, (174.76)," (1,423.35)", 312.06 ," (1,660.13)",-156%,,APR
008,KITENGELA,NEW DEPOSITS," 1,814.06 "," 11,240.76 "," 6,907.37 "," 83,103.69 ",-74%,,APR
008,KITENGELA,CUMULATIVE DEPOSITS,," 345,836.35 ",," 348,474.43 ",0%,,APR
008,KITENGELA,GROSS LOAN BOOK, -   ," 336,272.56 ",," 252,410.08 ",0%,,APR
008,KITENGELA,DISBURSEMENTS," 5,373.17 "," 22,668.67 "," 12,373.05 "," 92,618.45 ",-57%,,APR
008,KITENGELA,TRADE FINANCE," 20,000.00 "," 294,632.00 "," 248,443.22 "," 806,443.22 ",-92%,,APR
008,KITENGELA,FX INCOME," 64,702.00 "," 292,086.00 "," 56,000.00 "," 290,000.00 ",16%,,APR
008,KITENGELA,NEW ACCOUNTS, 33.00 , 257.00 , 98.00 , 392.00 ,-66%,,APR
008,KITENGELA,NFI, 185.34 ," 1,346.64 "," (1,505.63)"," 1,968.10 ",112%,,APR
008,KITENGELA,PBT," 2,779.48 "," (4,334.27)"," 4,406.31 "," (3,650.09)",-37%,,APR
009,KAYOLE,NEW DEPOSITS," (3,193.75)"," 7,895.33 "," 2,867.62 "," 69,398.50 ",-211%,,APR
009,KAYOLE,CUMULATIVE DEPOSITS,," 46,968.34 ",," 51,538.67 ",0%,,APR
009,KAYOLE,GROSS LOAN BOOK, -   ," 208,362.68 ",," 186,103.16 ",0%,,APR
009,KAYOLE,DISBURSEMENTS," 1,860.78 "," 22,892.34 "," 5,136.72 "," 73,300.32 ",-64%,,APR
009,KAYOLE,TRADE FINANCE," 217,923.00 "," 238,923.00 ", -   ," 102,000.00 ",0%,,APR
009,KAYOLE,FX INCOME, -   ," 7,781.00 ", -   ," 6,000.00 ",0%,,APR
009,KAYOLE,NEW ACCOUNTS, 24.00 , 138.00 , 73.00 , 292.00 ,-67%,,APR
009,KAYOLE,NFI, 399.65 ," 1,422.43 "," (1,235.44)"," 1,332.09 ",132%,,APR
009,KAYOLE,PBT, 467.40 ," 3,404.11 "," 1,685.32 "," 5,983.35 ",-72%,,APR
010,ELDORET,NEW DEPOSITS," (26,356.57)"," (39,269.32)"," 2,986.00 "," 85,116.88 ",-983%,,APR
010,ELDORET,CUMULATIVE DEPOSITS,," 183,735.93 ",," 227,624.84 ",0%,,APR
010,ELDORET,GROSS LOAN BOOK, -   ," 145,563.81 ",," 102,811.33 ",0%,,APR
010,ELDORET,DISBURSEMENTS," 1,491.66 "," 16,770.53 "," 5,348.77 "," 93,012.37 ",-72%,,APR
010,ELDORET,TRADE FINANCE," 350,297.00 "," 1,979,132.00 "," 62,110.81 "," 2,546,110.81 ",464%,,APR
010,ELDORET,FX INCOME," 1,013.00 "," 4,367.00 "," 14,000.00 "," 191,000.00 ",-93%,,APR
010,ELDORET,NEW ACCOUNTS, 49.00 , 262.00 , 91.00 , 364.00 ,-46%,,APR
010,ELDORET,NFI, 610.28 ," 3,267.73 "," (2,620.98)"," 3,110.44 ",123%,,APR
010,ELDORET,PBT," 1,460.71 "," (2,418.20)", (72.70)," (5,131.32)",2109%,,APR
011,MBALE,NEW DEPOSITS," (4,768.78)"," (11,245.88)"," 2,986.00 "," 47,851.44 ",-260%,,APR
011,MBALE,CUMULATIVE DEPOSITS,," 26,661.79 ",," 35,644.37 ",0%,,APR
011,MBALE,GROSS LOAN BOOK, -   ," 72,267.39 ",," 68,521.73 ",0%,,APR
011,MBALE,DISBURSEMENTS," 2,912.37 "," 11,036.42 "," 10,544.09 "," 51,625.89 ",-72%,,APR
011,MBALE,TRADE FINANCE," 95,000.00 "," 276,789.14 "," 62,110.81 "," 416,110.81 ",53%,,APR
011,MBALE,FX INCOME," 1,815.00 "," 2,605.00 "," 14,000.00 "," 92,000.00 ",-87%,,APR
011,MBALE,NEW ACCOUNTS, 22.00 , 150.00 , 58.00 , 232.00 ,-62%,,APR
011,MBALE,NFI, 240.91 , 935.12 , (733.67)," 1,195.59 ",133%,,APR
011,MBALE,PBT," (1,861.77)"," (1,534.91)", 316.23 , 881.74 ,-689%,,APR
012,BIASHARA STREET,NEW DEPOSITS," 28,142.54 "," 16,217.81 "," 6,444.95 "," 86,575.83 ",337%,,APR
012,BIASHARA STREET,CUMULATIVE DEPOSITS,," 721,378.05 ",," 697,361.91 ",0%,,APR
012,BIASHARA STREET,GROSS LOAN BOOK, -   ," 400,730.20 ",," 288,602.87 ",0%,,APR
012,BIASHARA STREET,DISBURSEMENTS," 1,500.00 "," 11,252.20 "," 11,173.62 "," 96,337.22 ",-87%,,APR
012,BIASHARA STREET,TRADE FINANCE," 3,636,005.26 "," 9,818,893.86 "," 2,812,732.17 "," 19,468,732.17 ",29%,,APR
012,BIASHARA STREET,FX INCOME," 4,256.00 "," 837,582.00 "," 56,000.00 "," 515,000.00 ",-92%,,APR
012,BIASHARA STREET,NEW ACCOUNTS, 34.00 , 165.00 , 98.00 , 392.00 ,-65%,,APR
012,BIASHARA STREET,NFI," 3,840.95 "," 10,734.38 "," (9,434.59)"," 10,200.28 ",141%,,APR
012,BIASHARA STREET,PBT," 5,859.02 "," 14,326.87 "," 1,444.99 "," 5,815.16 ",305%,,APR
013,RONGAI,NEW DEPOSITS," (2,749.69)"," 3,890.48 "," 6,004.72 "," 65,078.64 ",-146%,,APR
013,RONGAI,CUMULATIVE DEPOSITS,," 82,345.49 ",," 97,126.03 ",0%,,APR
013,RONGAI,GROSS LOAN BOOK, -   ," 169,557.31 ",," 140,703.95 ",0%,,APR
013,RONGAI,DISBURSEMENTS," 5,703.81 "," 23,030.52 "," 10,756.14 "," 69,598.54 ",-47%,,APR
013,RONGAI,TRADE FINANCE," 32,000.00 "," 156,580.00 "," 124,221.61 "," 397,221.61 ",-74%,,APR
013,RONGAI,FX INCOME," 30,350.00 "," 47,563.00 "," 28,000.00 "," 103,000.00 ",8%,,APR
013,RONGAI,NEW ACCOUNTS, 18.00 , 159.00 , 68.00 , 272.00 ,-74%,,APR
013,RONGAI,NFI, 280.47 ," 1,112.88 "," (1,113.40)"," 1,465.18 ",125%,,APR
013,RONGAI,PBT, (626.05), (912.29)," 1,349.97 "," 1,505.55 ",-146%,,APR
014,WESTLANDS,NEW DEPOSITS," 3,538.26 "," 3,990.38 "," 4,358.48 "," 73,558.48 ",-19%,,APR
014,WESTLANDS,CUMULATIVE DEPOSITS,," 255,128.15 ",," 261,944.95 ",0%,,APR
014,WESTLANDS,GROSS LOAN BOOK, -   ," 218,872.85 ",," 176,771.76 ",0%,,APR
014,WESTLANDS,DISBURSEMENTS," 7,243.67 "," 21,608.94 "," 7,807.27 "," 79,307.27 ",-7%,,APR
014,WESTLANDS,TRADE FINANCE," 673,862.60 "," 4,735,843.91 "," 124,221.61 "," 3,757,221.61 ",442%,,APR
014,WESTLANDS,FX INCOME," 1,447.00 "," 28,193.00 "," 28,000.00 "," 64,000.00 ",-95%,,APR
014,WESTLANDS,NEW ACCOUNTS, 17.00 , 97.00 , 65.00 , 260.00 ,-74%,,APR
014,WESTLANDS,NFI, 993.45 ," 5,657.19 ", (889.45)," 5,117.65 ",212%,,APR
014,WESTLANDS,PBT, 800.65 ," (2,871.35)", 638.71 ," (3,793.91)",25%,,APR
015,MACHAKOS,NEW DEPOSITS, 81.04 ," 7,595.29 "," 2,986.00 "," 62,316.88 ",-97%,,APR
015,MACHAKOS,CUMULATIVE DEPOSITS,," 35,889.82 ",," 43,277.21 ",0%,,APR
015,MACHAKOS,GROSS LOAN BOOK, -   ," 152,200.14 ",," 111,974.58 ",0%,,APR
015,MACHAKOS,DISBURSEMENTS, 647.00 ," 7,902.95 "," 5,348.77 "," 64,512.37 ",-88%,,APR
015,MACHAKOS,TRADE FINANCE," 31,000.00 "," 139,120.00 "," 62,110.81 "," 236,110.81 ",-50%,,APR
015,MACHAKOS,FX INCOME," 1,669.00 "," 7,705.00 "," 14,000.00 "," 20,000.00 ",-88%,,APR
015,MACHAKOS,NEW ACCOUNTS, 16.00 , 130.00 , 61.00 , 244.00 ,-74%,,APR
015,MACHAKOS,NFI, 128.45 , 689.24 ," (1,336.56)", 895.84 ,110%,,APR
015,MACHAKOS,PBT," (1,652.05)"," (2,812.67)", 873.66 , 492.65 ,-289%,,APR
016,NAKURU,NEW DEPOSITS," 4,852.24 "," (15,781.04)"," 8,812.57 "," 76,078.01 ",-45%,,APR
016,NAKURU,CUMULATIVE DEPOSITS,," 141,110.69 ",," 162,425.95 ",0%,,APR
016,NAKURU,GROSS LOAN BOOK, -   ," 175,708.07 ",," 158,558.85 ",0%,,APR
016,NAKURU,DISBURSEMENTS," 2,066.22 "," 16,219.20 "," 8,116.51 "," 77,198.31 ",-75%,,APR
016,NAKURU,TRADE FINANCE," 110,669.00 "," 880,788.00 "," 1,656,288.14 "," 3,150,288.14 ",-93%,,APR
016,NAKURU,FX INCOME," 40,188.00 "," 284,019.00 "," 83,666.00 "," 950,666.00 ",-52%,,APR
016,NAKURU,NEW ACCOUNTS, 32.00 , 184.00 , 56.00 , 224.00 ,-43%,,APR
016,NAKURU,NFI, 272.39 ," 1,818.82 ", (443.70)," 3,640.11 ",161%,,APR
016,NAKURU,PBT," 1,209.13 "," 4,729.79 "," 2,872.48 "," 6,222.46 ",-58%,,APR
017,KENGELENI,NEW DEPOSITS," (8,577.80)"," (40,104.07)"," 4,462.07 "," 59,327.51 ",-292%,,APR
017,KENGELENI,CUMULATIVE DEPOSITS,," 41,745.55 ",," 77,251.55 ",0%,,APR
017,KENGELENI,GROSS LOAN BOOK, -   ," 159,184.94 ",," 121,175.84 ",0%,,APR
017,KENGELENI,DISBURSEMENTS," 8,354.89 "," 15,648.24 "," 8,116.51 "," 61,698.31 ",3%,,APR
017,KENGELENI,TRADE FINANCE," 468,763.96 "," 790,123.05 "," 1,437,421.49 "," 1,929,421.49 ",-67%,,APR
017,KENGELENI,FX INCOME, -   ," 1,000.00 "," 42,000.00 "," 48,000.00 ",-100%,,APR
017,KENGELENI,NEW ACCOUNTS, 16.00 , 101.00 , 48.00 , 192.00 ,-67%,,APR
017,KENGELENI,NFI, 796.36 ," 1,693.74 ", 271.81 ," 2,716.25 ",193%,,APR
017,KENGELENI,PBT, (731.72)," (2,977.91)"," 1,484.49 ", (384.36),-149%,,APR
018,KISUMU,NEW DEPOSITS, 282.76 ," 2,192.11 "," 7,998.70 "," 78,929.58 ",-96%,,APR
018,KISUMU,CUMULATIVE DEPOSITS,," 34,697.49 ",," 48,207.27 ",0%,,APR
018,KISUMU,GROSS LOAN BOOK, -   ," 170,107.35 ",," 154,167.61 ",0%,,APR
018,KISUMU,DISBURSEMENTS," 3,184.94 "," 16,587.39 "," 13,214.64 "," 86,878.24 ",-76%,,APR
018,KISUMU,TRADE FINANCE," 93,443.00 "," 470,329.15 "," 1,499,532.29 "," 2,339,532.29 ",-94%,,APR
018,KISUMU,FX INCOME," 1,624.00 "," 27,486.00 "," 56,000.00 "," 77,000.00 ",-97%,,APR
018,KISUMU,NEW ACCOUNTS, 39.00 , 340.00 , 108.00 , 432.00 ,-64%,,APR
018,KISUMU,NFI, 311.83 ," 1,568.84 ", (153.58)," 3,306.68 ",303%,,APR
018,KISUMU,PBT, (277.59), 577.08 ," 3,179.29 "," 4,909.86 ",-109%,,APR
